geoname_id,continent_code,continent_name,country_iso_code,country_name,subdivision_iso_code,subdivision_name,city_name,metro_code,time_zone
4289966,NA,North America,US,United States,KY,Kentucky,Dixon,649,America/Chicago
4224342,NA,North America,US,United States,GA,Georgia,Stapleton,524,America/New_York
4416798,NA,North America,US,United States,MS,Mississippi,Bailey,711,America/Chicago
4433817,NA,North America,US,United States,MS,Mississippi,Little Rock,711,America/Chicago
4433025,NA,North America,US,United States,MS,Mississippi,Lauderdale,711,America/Chicago
4450310,NA,North America,US,United States,MS,Mississippi,Washington,628,America/Chicago
4421208,NA,North America,US,United States,MS,Mississippi,Centreville,716,America/Chicago
4446071,NA,North America,US,United States,MS,Mississippi,Silver Creek,718,America/Chicago
4419330,NA,North America,US,United States,MS,Mississippi,Braxton,718,America/Chicago
4442280,NA,North America,US,United States,MS,Mississippi,Potts Camp,640,America/Chicago
4433362,NA,North America,US,United States,MS,Mississippi,Liberty,716,America/Chicago
4431581,NA,North America,US,United States,MS,Mississippi,Jayess,718,America/Chicago
4417614,NA,North America,US,United States,MS,Mississippi,Bellefontaine,673,America/Chicago
4419539,NA,North America,US,United States,MS,Mississippi,Brooksville,673,America/Chicago
4447480,NA,North America,US,United States,MS,Mississippi,Sturgis,673,America/Chicago
4452285,NA,North America,US,United States,NC,North Carolina,Alamance,518,America/New_York
4596238,NA,North America,US,United States,SC,South Carolina,Society Hill,570,America/New_York
5148892,NA,North America,US,United States,OH,Ohio,Caledonia,535,America/New_York
4523922,NA,North America,US,United States,OH,Ohio,Sarahsville,554,America/New_York
5162878,NA,North America,US,United States,OH,Ohio,Midvale,510,America/New_York
5264410,NA,North America,US,United States,WI,Wisconsin,New Franken,658,America/Chicago
5102515,NA,North America,US,United States,NJ,New Jersey,Peapack,501,America/New_York
5198134,NA,North America,US,United States,PA,Pennsylvania,Linden,577,America/New_York
4561160,NA,North America,US,United States,PA,Pennsylvania,Seven Valleys,566,America/New_York
4583302,NA,North America,US,United States,SC,South Carolina,Jamestown,519,America/New_York
4575972,NA,North America,US,United States,SC,South Carolina,Cross,519,America/New_York
5272322,NA,North America,US,United States,WI,Wisconsin,Saxon,676,America/Chicago
5275219,NA,North America,US,United States,WI,Wisconsin,Suring,658,America/Chicago
5798318,NA,North America,US,United States,WA,Washington,Indianola,819,America/Los_Angeles
5657476,NA,North America,US,United States,MT,Montana,Hingham,755,America/Denver
5663158,NA,North America,US,United States,MT,Montana,Lodge Grass,756,America/Denver
5027779,NA,North America,US,United States,MN,Minnesota,Geneva,611,America/Chicago
5052019,NA,North America,US,United States,MN,Minnesota,Waterville,613,America/Chicago
5028509,NA,North America,US,United States,MN,Minnesota,Grand Meadow,611,America/Chicago
5028224,NA,North America,US,United States,MN,Minnesota,Good Thunder,737,America/Chicago
5053480,NA,North America,US,United States,MN,Minnesota,Wrenshall,676,America/Chicago
5739369,NA,North America,US,United States,OR,Oregon,Maupin,820,America/Los_Angeles
4889351,NA,North America,US,United States,IL,Illinois,Dakota,610,America/Chicago
5793447,NA,North America,US,United States,WA,Washington,Edwall,881,America/Los_Angeles
5791805,NA,North America,US,United States,WA,Washington,Davenport,881,America/Los_Angeles
5277255,NA,North America,US,United States,WI,Wisconsin,Viola,702,America/Chicago
5258975,NA,North America,US,United States,WI,Wisconsin,La Farge,702,America/Chicago
5371530,NA,North America,US,United States,CA,California,McFarland,800,America/Los_Angeles
5851942,NA,North America,US,United States,HI,Hawaii,Paia,744,Pacific/Honolulu
4532200,NA,North America,US,United States,OK,Oklahoma,Caney,657,America/Chicago
4542777,NA,North America,US,United States,OK,Oklahoma,Milburn,657,America/Chicago
4533892,NA,North America,US,United States,OK,Oklahoma,Coleman,657,America/Chicago
4531896,NA,North America,US,United States,OK,Oklahoma,Caddo,657,America/Chicago
4261600,NA,North America,US,United States,IN,Indiana,Moores Hill,515,America/New_York
4107630,NA,North America,US,United States,AR,Arkansas,Danville,693,America/Chicago
4126548,NA,North America,US,United States,AR,Arkansas,Plainview,693,America/Chicago
4124671,NA,North America,US,United States,AR,Arkansas,Ola,693,America/Chicago
4114104,NA,North America,US,United States,AR,Arkansas,Havana,693,America/Chicago
4112873,NA,North America,US,United States,AR,Arkansas,Gravelly,693,America/Chicago
4114025,NA,North America,US,United States,AR,Arkansas,Harvey,693,America/Chicago
4313574,NA,North America,US,United States,KY,Kentucky,Williamsport,564,America/New_York
4290777,NA,North America,US,United States,KY,Kentucky,East Point,564,America/New_York
4313063,NA,North America,US,United States,KY,Kentucky,West Van Lear,564,America/New_York
4300491,NA,North America,US,United States,KY,Kentucky,Meally,564,America/New_York
4311959,NA,North America,US,United States,KY,Kentucky,Van Lear,564,America/New_York
5230963,NA,North America,US,United States,SD,South Dakota,Roslyn,725,America/Chicago
5226523,NA,North America,US,United States,SD,South Dakota,Britton,725,America/Chicago
5229227,NA,North America,US,United States,SD,South Dakota,Langford,725,America/Chicago
5230414,NA,North America,US,United States,SD,South Dakota,Pierpont,725,America/Chicago
4551915,NA,North America,US,United States,OK,Oklahoma,Spencer,650,America/Chicago
4784751,NA,North America,US,United States,VA,Virginia,Seaford,544,America/New_York
5383075,NA,North America,US,United States,CA,California,Pine Valley,825,America/Los_Angeles
4850531,NA,North America,US,United States,IA,Iowa,Carter Lake,652,America/Chicago
4104897,NA,North America,US,United States,AR,Arkansas,Cave Springs,670,America/Chicago
5344973,NA,North America,US,United States,CA,California,East Irvine,803,America/Los_Angeles
5081416,NA,North America,US,United States,NE,Nebraska,Waterloo,652,America/Chicago
4532432,NA,North America,US,United States,OK,Oklahoma,Cashion,650,America/Chicago
4373267,NA,North America,US,United States,MD,Maryland,Westover,576,America/New_York
4361458,NA,North America,US,United States,MD,Maryland,Madison,511,America/New_York
4914267,NA,North America,US,United States,IL,Illinois,Union,602,America/Chicago
5539726,NA,North America,US,United States,UT,Utah,Goshen,770,America/Denver
4918544,NA,North America,US,United States,IN,Indiana,Burket,588,America/Indiana/Indianapolis
5387701,NA,North America,US,United States,CA,California,Rio Nido,807,America/Los_Angeles
5379653,NA,North America,US,United States,CA,California,Oregon House,862,America/Los_Angeles
5380571,NA,North America,US,United States,CA,California,Palermo,868,America/Los_Angeles
4917208,NA,North America,US,United States,IL,Illinois,Wyanet,675,America/Chicago
4891559,NA,North America,US,United States,IL,Illinois,Fairmount,648,America/Chicago
4261461,NA,North America,US,United States,IN,Indiana,Milton,542,America/Indiana/Indianapolis
4256803,NA,North America,US,United States,IN,Indiana,Dublin,542,America/Indiana/Indianapolis
4245709,NA,North America,US,United States,IL,Illinois,Niantic,648,America/Chicago
4888309,NA,North America,US,United States,IL,Illinois,Coatsburg,717,America/Chicago
4561064,NA,North America,US,United States,PA,Pennsylvania,Salisbury,508,America/New_York
4266207,NA,North America,US,United States,IN,Indiana,Vallonia,529,America/Indiana/Indianapolis
4261221,NA,North America,US,United States,IN,Indiana,Medora,529,America/Indiana/Indianapolis
4926958,NA,North America,US,United States,IN,Indiana,Sulphur Springs,527,America/Indiana/Indianapolis
5104540,NA,North America,US,United States,NJ,New Jersey,Sergeantsville,504,America/New_York
4904793,NA,North America,US,United States,IL,Illinois,Olympia Fields,602,America/Chicago
4265360,NA,North America,US,United States,IN,Indiana,Stinesville,527,America/Indiana/Indianapolis
4992403,NA,North America,US,United States,MI,Michigan,Fair Haven,505,America/Detroit
5313737,NA,North America,US,United States,AZ,Arizona,Sells,789,America/Phoenix
5192305,NA,North America,US,United States,PA,Pennsylvania,Gwynedd Valley,504,America/New_York
4560511,NA,North America,US,United States,PA,Pennsylvania,Pomeroy,504,America/New_York
4926260,NA,North America,US,United States,IN,Indiana,Selma,527,America/Indiana/Indianapolis
4919907,NA,North America,US,United States,IN,Indiana,Eaton,527,America/Indiana/Indianapolis
4556502,NA,North America,US,United States,PA,Pennsylvania,Bendersville,566,America/New_York
4557316,NA,North America,US,United States,PA,Pennsylvania,Conestoga,566,America/New_York
5207541,NA,North America,US,United States,PA,Pennsylvania,Ramey,574,America/New_York
5211072,NA,North America,US,United States,PA,Pennsylvania,Schaefferstown,566,America/New_York
5199671,NA,North America,US,United States,PA,Pennsylvania,Manns Choice,574,America/New_York
5177557,NA,North America,US,United States,OH,Ohio,Yorkville,554,America/New_York
5194892,NA,North America,US,United States,PA,Pennsylvania,Industry,508,America/New_York
5199706,NA,North America,US,United States,PA,Pennsylvania,Manorville,508,America/New_York
5280534,NA,North America,US,United States,WV,West Virginia,Newell,554,America/New_York
5197594,NA,North America,US,United States,PA,Pennsylvania,Leetsdale,508,America/New_York
5197238,NA,North America,US,United States,PA,Pennsylvania,Laughlintown,574,America/New_York
5209579,NA,North America,US,United States,PA,Pennsylvania,Saint Boniface,574,America/New_York
5812092,NA,North America,US,United States,WA,Washington,Steilacoom,819,America/Los_Angeles
4427795,NA,North America,US,United States,MS,Mississippi,Glens,640,America/Chicago
5338461,NA,North America,US,United States,CA,California,Cold Springs,862,America/Los_Angeles
5199068,NA,North America,US,United States,PA,Pennsylvania,Lowber,508,America/New_York
4605470,NA,North America,US,United States,TN,Tennessee,Belvidere,575,America/Chicago
5325327,NA,North America,US,United States,CA,California,Avenal,866,America/Los_Angeles
5006232,NA,North America,US,United States,MI,Michigan,Port Hope,513,America/Detroit
4790178,NA,North America,US,United States,VA,Virginia,Troy,556,America/New_York
5792207,NA,North America,US,United States,WA,Washington,Deming,819,America/Los_Angeles
5814082,NA,North America,US,United States,WA,Washington,Tumtum,881,America/Los_Angeles
